file,lightweight_execution_time,lightweight_number_of_swap,original_execution_time,original_number_of_swap
4gt13_92.qasm,0.002580881118774414,20,0.010704278945922852,21
4mod5-v1_22.qasm,0.0027976036071777344,6,0.0061817169189453125,6
9symml_195.qasm,0.563495397567749,13963,7.543054819107056,13297
adr4_197.qasm,0.04742288589477539,1268,0.6434540748596191,1265
alu-v0_27.qasm,0.0015113353729248047,11,0.008094310760498047,10
co14_215.qasm,0.42182207107543945,7714,4.001657724380493,7297
cycle10_2_110.qasm,0.08079862594604492,2353,1.1874337196350098,2327
decod24-v2_43.qasm,0.002778768539428711,14,0.011490345001220703,11
ising_model_10.qasm,0.006822824478149414,25,0.03960704803466797,38
ising_model_13.qasm,0.00803828239440918,34,0.06689620018005371,100
ising_model_16.qasm,0.010886669158935547,60,0.07288193702697754,89
misex1_241.qasm,0.07352352142333984,1828,0.871147871017456,1685
mod5mils_65.qasm,0.002051830291748047,16,0.007241010665893555,12
qft_10.qasm,0.0041468143463134766,44,0.04718828201293945,94
qft_16.qasm,0.009001970291137695,136,0.13024497032165527,267
radd_250.qasm,0.04568743705749512,1222,0.6248738765716553,1174
rd73_252.qasm,0.07522177696228027,1970,0.9928419589996338,1925
rd84_142.qasm,0.006566762924194336,134,0.07487010955810547,143
rd84_253.qasm,0.18497395515441895,5428,2.710545301437378,5226
sqn_258.qasm,0.12896227836608887,3754,2.0563149452209473,3656
square_root_7.qasm,0.10230493545532227,2738,1.4265406131744385,2740
sym6_145.qasm,0.04793572425842285,1322,0.6321611404418945,1246
sym9_193.qasm,0.48143744468688965,13854,6.961721181869507,13457
z4_268.qasm,0.04580354690551758,1151,0.5728211402893066,1121
